Applied time(seconds),Measured potential(v)
4760.0,-0.00017307000000000002
4770.0,-0.000182685
4780.0,-0.00017307000000000002
4790.0,-0.0001923
4800.0,-0.000163455
4810.0,-9.615021e-06
4820.0,0.000576901
4830.0,-0.00024999
4840.0,-0.000355755
4850.0,-0.001096112
4860.0,0.000124995
4870.0,0.00032691
4880.0,-7.6920168e-05
4890.0,-0.000124995
4900.0,-0.000163455
4910.0,-0.00013461000000000001
4920.0,-0.000182685
4930.0,-0.0001923
4940.0,-0.000144225
4950.0,-0.000163455
4960.0,-0.00021153
4970.0,-0.00017307000000000002
4980.0,-0.000182685
4990.0,-0.00020191500000000002
5000.0,-0.000221145
5010.0,-0.00020191500000000002
5020.0,-0.000182685
5030.0,-0.000182685
5040.0,-0.00021153
5050.0,9.6150208e-05
5060.0,-0.00011538000000000001
5070.0,-0.000999962
5080.0,0.000749971
5090.0,0.0003846
5100.0,-0.000105765
5110.0,0.00013461000000000001
5120.0,0.000355755
5130.0,0.00030768
5140.0,8.6535184e-05
5150.0,-0.0001923
5160.0,-0.000221145
5170.0,-0.00020191500000000002
5180.0,-6.7305144e-05
5190.0,-0.00036537
5200.0,-0.0001923
5210.0,5.7690124e-05
5220.0,5.7690124e-05
5230.0,0.000240375
5240.0,-7.6920168e-05
5250.0,-0.000298065
5260.0,-0.00026922000000000003
5270.0,-0.00021153
5280.0,-0.00021153
5290.0,-0.00023076000000000002
5300.0,-0.000105765
5310.0,-0.000124995
5320.0,-0.00013461000000000001
5330.0,-0.00020191500000000002
5340.0,0.0007115110000000001
5350.0,-2.8845062e-05
5360.0,-0.000298065
5370.0,-0.000278835
5380.0,-0.000259605
5390.0,-0.00028845
5400.0,-0.000259605
5410.0,-0.000259605
5420.0,-0.00017307000000000002
5430.0,-0.00015384
5440.0,-0.00021153
5450.0,-0.000240375
5460.0,-0.00021153
5470.0,-0.0001923
5480.0,-0.000221145
5490.0,-0.00020191500000000002
5500.0,-0.00020191500000000002
5510.0,-0.00026922000000000003
5520.0,-0.00020191500000000002
5530.0,-0.0001923
5540.0,-0.00023076000000000002
5550.0,-0.000221145
5560.0,-0.000240375
5570.0,-0.00017307000000000002
5580.0,-0.0001923
5590.0,-0.000240375
5600.0,-0.00017307000000000002
5610.0,-0.0001923
5620.0,-0.000221145
5630.0,-0.000240375
5640.0,-0.003999849000000001
5650.0,0.000615361
5660.0,0.0009518870000000001
5670.0,0.000423061
5680.0,0.00011538000000000001
5690.0,-0.00013461000000000001
5700.0,-0.000182685
5710.0,-0.00017307000000000002
5720.0,-0.00021153
5730.0,-0.00023076000000000002
5740.0,-0.000221145
5750.0,-0.00021153
5760.0,-0.0001923
5770.0,-0.00031729500000000004
5780.0,-0.000221145
5790.0,-0.00024999
5800.0,-0.00020191500000000002
5810.0,-0.0001923
5820.0,-0.000182685
5830.0,-0.000182685
5840.0,-0.00020191500000000002
5850.0,-0.00021153
5860.0,-0.0001923
5870.0,-0.000240375
5880.0,-0.000221145
5890.0,-0.00020191500000000002
5900.0,-0.0001923
5910.0,-0.00011538000000000001
5920.0,-0.00024999
5930.0,-0.00020191500000000002
5940.0,0.000105765
5950.0,2.8845062e-05
5960.0,-0.000298065
5970.0,-0.00013461000000000001
5980.0,-0.000182685
5990.0,-0.000182685
